,continent,country,median_age,aged_65_older,aged_70_older,non_risky_age,risky_age,total_cases,total_deaths,deaths_ratio,hospital_beds_per_thousand,gdp_per_capita,HDI
0,Asia,Afghanistan,18.6,2.581,1.337,96.082,3.9180000000000064,63819.0,2751.0,4.310628496215861,0.5,1803.987,0.511
1,Europe,Albania,38.0,13.188,8.643,78.169,21.831000000000003,132071.0,2436.0,1.8444624482286045,2.89,11803.431,0.795
2,Africa,Algeria,29.1,6.211,3.857,89.932,10.067999999999998,125693.0,3388.0,2.695456389775087,1.9,13913.839,0.748
3,North America,Antigua and Barbuda,32.1,6.933,4.631,88.436,11.563999999999993,1251.0,42.0,3.357314148681055,3.8,21490.943,0.778
4,South America,Argentina,31.9,11.198,7.441,81.36099999999999,18.63900000000001,3371508.0,71771.0,2.128750695534461,5.0,18933.907,0.845
5,Asia,Armenia,35.7,11.232,7.571,81.197,18.802999999999997,221139.0,4346.0,1.9652797561714577,4.2,8787.58,0.776
6,Oceania,Australia,37.9,15.504,10.129,74.36699999999999,25.63300000000001,29992.0,910.0,3.034142437983462,3.84,44648.71,0.944
7,Europe,Austria,44.4,19.202,13.748,67.05,32.95,638155.0,10499.0,1.6452115865267842,7.37,45436.686,0.922
8,Asia,Azerbaijan,32.4,6.018,3.871,90.111,9.888999999999996,330701.0,4802.0,1.4520669728848719,4.7,15847.419,0.756
9,North America,Bahamas,34.3,8.996,5.2,85.804,14.195999999999998,11278.0,221.0,1.959567299166519,2.9,27717.847,0.814
10,Asia,Bahrain,32.4,2.372,1.387,96.241,3.7590000000000003,204524.0,765.0,0.374039232559504,2.0,43290.705,0.852
11,Asia,Bangladesh,27.5,5.098,3.262,91.64,8.36,782129.0,12211.0,1.5612514048194095,0.8,3523.984,0.632
12,North America,Barbados,39.8,14.952,9.473,75.575,24.424999999999997,3972.0,47.0,1.1832829808660623,5.8,16978.068,0.814
13,Europe,Belarus,40.3,14.799,9.788,75.413,24.587000000000003,378711.0,2721.0,0.7184898246948201,11.0,17167.967,0.823
14,Europe,Belgium,41.8,18.571,12.849,68.58,31.42,1034714.0,24749.0,2.391868670956419,5.64,42658.576,0.931
15,North America,Belize,25.0,3.853,2.279,93.86800000000001,6.131999999999991,12745.0,323.0,2.5343271871322086,1.3,7824.362,0.716
16,Africa,Benin,18.8,3.244,1.942,94.81400000000001,5.185999999999993,8025.0,101.0,1.2585669781931466,0.5,2064.236,0.545
17,Asia,Bhutan,28.6,4.885,2.977,92.13799999999999,7.862000000000009,1309.0,1.0,0.07639419404125286,1.7,8708.597,0.654
18,South America,Bolivia,25.4,6.704,4.393,88.903,11.096999999999994,334824.0,13566.0,4.0516808830908175,1.1,6885.829,0.718
19,Europe,Bosnia and Herzegovina,42.5,16.569,10.711,72.72,27.28,202675.0,9070.0,4.475144936474652,3.5,11713.895,0.78
20,Africa,Botswana,25.8,3.941,2.242,93.817,6.183000000000007,50800.0,774.0,1.5236220472440947,1.8,15807.374,0.735
21,South America,Brazil,33.5,8.552,5.06,86.388,13.611999999999995,15732836.0,439050.0,2.7906602471417106,2.2,14103.452,0.765
22,Asia,Brunei,32.4,4.591,2.382,93.027,6.972999999999999,232.0,3.0,1.293103448275862,2.7,71809.251,0.838
23,Europe,Bulgaria,44.7,20.801,13.272,65.92699999999999,34.07300000000001,415326.0,17379.0,4.184423802025397,7.454,18563.307,0.816
24,Africa,Burkina Faso,17.6,2.409,1.358,96.23299999999999,3.76700000000001,13404.0,165.0,1.2309758281110117,0.4,1703.102,0.452
25,Africa,Burundi,17.5,2.562,1.504,95.934,4.0660000000000025,4353.0,6.0,0.13783597518952445,0.8,702.225,0.433
26,Asia,Cambodia,25.6,4.412,2.385,93.20299999999999,6.797000000000011,22889.0,156.0,0.6815500895626719,0.8,3645.07,0.594
27,Africa,Cameroon,18.8,3.165,1.919,94.916,5.084000000000003,77429.0,1189.0,1.5356003564555916,1.3,3364.926,0.563
28,North America,Canada,41.4,16.984,10.797,72.219,27.781000000000006,1346083.0,24999.0,1.8571663114384476,2.5,44017.591,0.929
29,Africa,Cape Verde,25.7,4.46,3.437,92.10300000000001,7.896999999999991,28410.0,252.0,0.8870116156283,2.1,6222.554,0.665
30,Africa,Central African Republic,18.3,3.655,2.251,94.094,5.906000000000006,7010.0,96.0,1.369472182596291,1.0,661.24,0.397
31,South America,Chile,35.4,11.087,6.938,81.975,18.025000000000006,1295862.0,27965.0,2.1580229993625863,2.11,22767.037,0.851
32,Asia,China,38.7,10.641,5.929,83.42999999999999,16.570000000000007,102784.0,4846.0,4.714741594022416,4.34,15308.712,0.761
33,South America,Colombia,32.2,7.646,4.312,88.042,11.957999999999998,3144547.0,82291.0,2.616942917374108,1.71,13254.949,0.767
34,Africa,Comoros,20.4,2.963,1.726,95.311,4.688999999999993,3864.0,146.0,3.7784679089026914,2.2,1413.89,0.554
35,North America,Costa Rica,33.6,9.468,5.694,84.838,15.162000000000006,290920.0,3673.0,1.262546404509831,1.13,15524.995,0.81
36,Europe,Croatia,44.0,19.724,13.053,67.223,32.777,350997.0,7765.0,2.212269620538067,5.54,22669.797,0.851
37,Europe,Cyprus,37.3,13.416,8.563,78.021,21.979,71398.0,348.0,0.487408610885459,3.4,32415.132,0.887
38,Europe,Czechia,43.3,19.027,11.58,69.393,30.607,1654219.0,29933.0,1.8094943897996578,6.63,32605.906,0.9
39,Europe,Denmark,42.3,19.677,12.325,67.998,32.001999999999995,268956.0,2504.0,0.9310073023096714,2.5,46682.515,0.94
40,Africa,Djibouti,25.4,4.213,2.38,93.40700000000001,6.592999999999989,11455.0,151.0,1.3182016586643388,1.4,2705.406,0.524
41,North America,Dominican Republic,27.6,6.981,4.419,88.60000000000001,11.399999999999991,278549.0,3597.0,1.2913347382327705,1.6,14600.861,0.756
42,South America,Ecuador,28.1,7.104,4.458,88.438,11.561999999999998,411466.0,19877.0,4.830775811367161,1.5,10581.936,0.759
43,Africa,Egypt,25.3,5.159,2.891,91.94999999999999,8.050000000000011,248078.0,14441.0,5.821153024451987,1.6,10550.206,0.707
44,North America,El Salvador,27.6,8.273,5.417,86.31,13.689999999999998,71479.0,2195.0,3.0708319926132153,1.3,7292.458,0.673
45,Africa,Equatorial Guinea,22.4,2.846,1.752,95.402,4.597999999999999,7694.0,112.0,1.4556797504549,2.1,22604.873,0.592
46,Africa,Eritrea,19.3,3.607,2.171,94.222,5.778000000000006,3879.0,14.0,0.3609177623098737,0.7,1510.459,0.459
47,Europe,Estonia,42.7,19.452,13.491,67.057,32.943,127500.0,1229.0,0.9639215686274509,4.69,29481.252,0.892
48,Africa,Eswatini,21.5,3.163,1.845,94.992,5.007999999999996,18525.0,672.0,3.6275303643724692,2.1,7738.975,0.611
49,Africa,Ethiopia,19.8,3.526,2.063,94.411,5.588999999999999,267100.0,4021.0,1.5054286783976039,0.3,1729.927,0.485
50,Oceania,Fiji,28.6,6.224,3.284,90.49199999999999,9.50800000000001,178.0,4.0,2.247191011235955,2.3,8702.975,0.743
51,Europe,Finland,42.8,21.228,13.264,65.508,34.492000000000004,90398.0,933.0,1.032102480143366,3.28,40585.721,0.938
52,Europe,France,42.0,19.718,13.079,67.203,32.797,5959593.0,108201.0,1.8155770033289185,5.98,38605.671,0.901
53,Africa,Gabon,23.1,4.45,2.976,92.574,7.426000000000002,23909.0,145.0,0.6064661842820696,6.3,16562.413,0.703
54,Africa,Gambia,17.5,2.339,1.417,96.244,3.7560000000000002,5957.0,175.0,2.937720329024677,1.1,1561.767,0.496
55,Asia,Georgia,38.7,14.864,10.244,74.892,25.108000000000004,332441.0,4499.0,1.3533228452567523,2.6,9745.079,0.812
56,Europe,Germany,46.6,21.453,15.957,62.589999999999996,37.410000000000004,3615896.0,86671.0,2.3969439386531026,8.0,45229.245,0.947
57,Africa,Ghana,21.1,3.385,1.948,94.667,5.332999999999998,93390.0,783.0,0.8384195309990363,0.9,4227.63,0.611
58,Europe,Greece,45.3,20.396,14.524,65.08,34.92,381266.0,11534.0,3.025184516846506,4.21,24574.382,0.888
59,North America,Grenada,29.4,7.304,5.021,87.675,12.325000000000003,161.0,1.0,0.6211180124223602,3.7,13593.877,0.779
60,North America,Guatemala,22.9,4.694,3.016,92.28999999999999,7.710000000000008,242784.0,7913.0,3.2592757348095427,0.6,7423.808,0.663
61,Africa,Guinea,19.0,3.135,1.733,95.13199999999999,4.868000000000009,22853.0,153.0,0.6694963462127511,0.3,1998.926,0.477
62,South America,Guyana,26.3,5.305,2.837,91.85799999999999,8.14200000000001,15454.0,345.0,2.23243173288469,1.6,7435.047,0.682
63,North America,Haiti,24.3,4.8,2.954,92.24600000000001,7.753999999999991,13520.0,274.0,2.026627218934911,0.7,1653.173,0.51
64,North America,Honduras,24.9,4.652,2.883,92.465,7.534999999999997,228287.0,6019.0,2.636593410925721,0.7,4541.795,0.634
65,Europe,Hungary,43.4,18.577,11.976,69.447,30.552999999999997,798955.0,29277.0,3.6644116377017477,7.02,26777.561,0.854
66,Europe,Iceland,37.3,14.431,9.207,76.362,23.638000000000005,6549.0,29.0,0.4428156970529852,2.91,46482.958,0.949
