Series Name;Series Code;Country Name;Country Code;2018 [YR2018];2019 [YR2019]
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;El mundo árabe;ARB;2,77138E+12;2,81741E+12
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Estados pequeos del Caribe;CSS;74967267520;77721714918
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Europa Central y del Báltico;CEB;1,64444E+12;1,66885E+12
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;inicial del dividendo demográfico;EAR;1,1646E+13;1,19899E+13
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Asia oriental y el Pacífico;EAS;2,63513E+13;2,69247E+13
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Asia oriental y el Pacífico (excluido altos ingresos);EAP;1,65941E+13;1,71517E+13
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Asia oriental y el Pacífico (BIRF y la AIF);TEA;1,65625E+13;1,71189E+13
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Zona del Euro;EMU;1,36869E+13;1,33561E+13
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Europa y Asia central;ECS;2,31457E+13;2,27928E+13
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Europa y Asia central (excluido altos ingresos);ECA;3,19214E+12;3,24846E+12
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Europa y Asia central (BIRF y la AIF);TEC;4,08239E+12;4,15516E+12
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Unión Europea;EUU;1,5965E+13;1,56264E+13
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Frágiles y situaciones de conflicto afectados;FCS;1,69825E+12;1,77846E+12
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Países pobres muy endeudados (PPME);HPC;7,59124E+11;7,83062E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Ingreso alto;HIC;5,46569E+13;5,51406E+13
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Sólo BIRF;IBD;3,08077E+13;3,1539E+13
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;BIRF y la AIF;IBT;3,30323E+13;3,3852E+13
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;mezcla de la AIF;IDB;9,64268E+11;9,91548E+11
PIB (US$ a precios actuales);NY.GDP.MKTP.CD;Sólo AIF;IDX;1,26882E+12;1,33197E+12
