country,total_cases,total_deaths,gdp_per_capita,deaths_ratio
Afghanistan,63819.0,2751.0,1803.987,4.310628496215861
Albania,132071.0,2436.0,11803.431,1.8444624482286045
Algeria,125693.0,3388.0,13913.839,2.695456389775087
Angola,31045.0,685.0,5819.495,2.2064744725398615
Antigua and Barbuda,1251.0,42.0,21490.943,3.357314148681055
Argentina,3371508.0,71771.0,18933.907,2.128750695534461
Armenia,221139.0,4346.0,8787.58,1.9652797561714577
Australia,29992.0,910.0,44648.71,3.034142437983462
Austria,638155.0,10499.0,45436.686,1.6452115865267842
Azerbaijan,330701.0,4802.0,15847.419,1.4520669728848719
Bahamas,11278.0,221.0,27717.847,1.959567299166519
Bahrain,204524.0,765.0,43290.705,0.374039232559504
Bangladesh,782129.0,12211.0,3523.984,1.5612514048194095
Barbados,3972.0,47.0,16978.068,1.1832829808660623
Belarus,378711.0,2721.0,17167.967,0.7184898246948201
Belgium,1034714.0,24749.0,42658.576,2.391868670956419
Belize,12745.0,323.0,7824.362,2.5343271871322086
Benin,8025.0,101.0,2064.236,1.2585669781931466
Bhutan,1309.0,1.0,8708.597,0.07639419404125286
Bolivia,334824.0,13566.0,6885.829,4.0516808830908175
Bosnia and Herzegovina,202675.0,9070.0,11713.895,4.475144936474652
Botswana,50800.0,774.0,15807.374,1.5236220472440947
Brazil,15732836.0,439050.0,14103.452,2.7906602471417106
Brunei,232.0,3.0,71809.251,1.293103448275862
Bulgaria,415326.0,17379.0,18563.307,4.184423802025397
Burkina Faso,13404.0,165.0,1703.102,1.2309758281110117
Burundi,4353.0,6.0,702.225,0.13783597518952445
Cambodia,22889.0,156.0,3645.07,0.6815500895626719
Cameroon,77429.0,1189.0,3364.926,1.5356003564555916
Canada,1346083.0,24999.0,44017.591,1.8571663114384476
Cape Verde,28410.0,252.0,6222.554,0.8870116156283
Central African Republic,7010.0,96.0,661.24,1.369472182596291
Chad,4905.0,173.0,1768.153,3.527013251783894
Chile,1295862.0,27965.0,22767.037,2.1580229993625863
China,102784.0,4846.0,15308.712,4.714741594022416
Colombia,3144547.0,82291.0,13254.949,2.616942917374108
Comoros,3864.0,146.0,1413.89,3.7784679089026914
