country,median_age,aged_65_older,aged_70_older,gdp_per_capita,deaths_ratio,non_risky_age,risky_age
Afghanistan,18.6,2.581,1.337,1803.987,4.310628496215861,77.482,22.518
Albania,38.0,13.188,8.643,11803.431,1.8444624482286045,40.169,59.831
Algeria,29.1,6.211,3.857,13913.839,2.695456389775087,60.83200000000001,39.16799999999999
Angola,16.8,2.405,1.362,5819.495,2.2064744725398615,79.433,20.566999999999993
Antigua and Barbuda,32.1,6.933,4.631,21490.943,3.357314148681055,56.336000000000006,43.663999999999994
Argentina,31.9,11.198,7.441,18933.907,2.128750695534461,49.46099999999999,50.53900000000001
Armenia,35.7,11.232,7.571,8787.58,1.9652797561714577,45.497,54.503
Australia,37.9,15.504,10.129,44648.71,3.034142437983462,36.467000000000006,63.532999999999994
Austria,44.4,19.202,13.748,45436.686,1.6452115865267842,22.65,77.35
Azerbaijan,32.4,6.018,3.871,15847.419,1.4520669728848719,57.71099999999999,42.28900000000001
Bahamas,34.3,8.996,5.2,27717.847,1.959567299166519,51.504,48.496
Bahrain,32.4,2.372,1.387,43290.705,0.374039232559504,63.840999999999994,36.159000000000006
Bangladesh,27.5,5.098,3.262,3523.984,1.5612514048194095,64.14,35.86
Barbados,39.8,14.952,9.473,16978.068,1.1832829808660623,35.775000000000006,64.225
Belarus,40.3,14.799,9.788,17167.967,0.7184898246948201,35.113,64.887
Belgium,41.8,18.571,12.849,42658.576,2.391868670956419,26.780000000000005,73.22
Belize,25.0,3.853,2.279,7824.362,2.5343271871322086,68.86800000000001,31.13199999999999
Benin,18.8,3.244,1.942,2064.236,1.2585669781931466,76.01400000000001,23.98599999999999
Bhutan,28.6,4.885,2.977,8708.597,0.07639419404125286,63.538000000000004,36.461999999999996
Bolivia,25.4,6.704,4.393,6885.829,4.0516808830908175,63.503,36.497
Bosnia and Herzegovina,42.5,16.569,10.711,11713.895,4.475144936474652,30.22,69.78
Botswana,25.8,3.941,2.242,15807.374,1.5236220472440947,68.017,31.983000000000004
Brazil,33.5,8.552,5.06,14103.452,2.7906602471417106,52.888,47.112
Brunei,32.4,4.591,2.382,71809.251,1.293103448275862,60.626999999999995,39.373000000000005
Bulgaria,44.7,20.801,13.272,18563.307,4.184423802025397,21.226999999999997,78.773
Burkina Faso,17.6,2.409,1.358,1703.102,1.2309758281110117,78.633,21.367000000000004
Burundi,17.5,2.562,1.504,702.225,0.13783597518952445,78.434,21.566000000000003
Cambodia,25.6,4.412,2.385,3645.07,0.6815500895626719,67.603,32.397000000000006
Cameroon,18.8,3.165,1.919,3364.926,1.5356003564555916,76.116,23.884
Canada,41.4,16.984,10.797,44017.591,1.8571663114384476,30.819,69.181
Cape Verde,25.7,4.46,3.437,6222.554,0.8870116156283,66.403,33.596999999999994
Central African Republic,18.3,3.655,2.251,661.24,1.369472182596291,75.794,24.206000000000003
Chad,16.7,2.486,1.446,1768.153,3.527013251783894,79.368,20.632000000000005
Chile,35.4,11.087,6.938,22767.037,2.1580229993625863,46.57499999999999,53.42500000000001
China,38.7,10.641,5.929,15308.712,4.714741594022416,44.73,55.27
Colombia,32.2,7.646,4.312,13254.949,2.616942917374108,55.842,44.158
Comoros,20.4,2.963,1.726,1413.89,3.7784679089026914,74.911,25.089
Congo,19.0,3.402,2.063,4881.406,1.3047694613417968,75.535,24.465000000000003
Costa Rica,33.6,9.468,5.694,15524.995,1.262546404509831,51.238,48.762
Cote d'Ivoire,18.7,2.933,1.582,3601.006,0.6380063372441551,76.785,23.215000000000003
Croatia,44.0,19.724,13.053,22669.797,2.212269620538067,23.222999999999995,76.777
Cyprus,37.3,13.416,8.563,32415.132,0.487408610885459,40.721000000000004,59.278999999999996
Czechia,43.3,19.027,11.58,32605.906,1.8094943897996578,26.093000000000004,73.907
Democratic Republic of Congo,17.0,3.02,1.745,808.133,2.534291312867407,78.235,21.765
Denmark,42.3,19.677,12.325,46682.515,0.9310073023096714,25.698000000000004,74.30199999999999
Djibouti,25.4,4.213,2.38,2705.406,1.3182016586643388,68.007,31.992999999999995
Dominican Republic,27.6,6.981,4.419,14600.861,1.2913347382327705,61.000000000000014,38.999999999999986
Ecuador,28.1,7.104,4.458,10581.936,4.830775811367161,60.33800000000001,39.66199999999999
Egypt,25.3,5.159,2.891,10550.206,5.821153024451987,66.64999999999999,33.35000000000001
El Salvador,27.6,8.273,5.417,7292.458,3.0708319926132153,58.71000000000001,41.28999999999999
Equatorial Guinea,22.4,2.846,1.752,22604.873,1.4556797504549,73.002,26.998000000000005
